"","column_label","Site","taxonID","dateID","lengthClass","n_m2","total_mass_AFDMg_m2"
"1","1","wastewater dominated","coleoptera_elmidae",2021-09-07,1,10.76,0.00024748
"2","1","wastewater dominated","coleoptera_elmidae",2021-11-18,2,43.04,0.0113638819463829
"3","1","wastewater dominated","coleoptera_elmidae",2021-11-18,3,10.76,0.0118436085603939
"4","1","wastewater dominated","coleoptera_elmidae",2021-11-18,5,10.76,0.0715506350347301
"5","1","stormwater dominated","coleoptera_elmidae",2021-09-07,5,10.76,0.0715506350347301
"6","1","stormwater dominated","coleoptera_elmidae",2021-11-18,6,10.76,0.13595984473441
"7","1","stormwater dominated","coleoptera_elmidae",2021-11-18,5,10.76,0.0715506350347301
"8","1","stormwater dominated","coleoptera_elmidae",2021-11-18,4,10.76,0.0326131942205754
"9","1","stormwater dominated","coleoptera_elmidae",2021-11-18,3,10.76,0.0118436085603939
"10","1","stormwater dominated","coleoptera_elmidae",2021-11-18,2,10.76,0.00284097048659574
"11","1","stormwater dominated","coleoptera_elmidae",2022-01-13,4,10.76,0.0326131942205754
"12","1","forested","coleoptera_elmidae",2021-05-24,8,10.76,0.374386302950822
"13","1","forested","coleoptera_elmidae",2021-09-07,2,21.52,0.00568194097319147
"14","1","forested","coleoptera_elmidae",2021-09-07,4,10.76,0.0326131942205754
"15","1","forested","coleoptera_elmidae",2021-09-07,3,10.76,0.0118436085603939
"16","1","forested","coleoptera_elmidae",2021-10-14,8,21.52,0.748772605901644
"17","1","forested","coleoptera_elmidae",2021-10-14,2,32.28,0.00852291145978721
"18","1","forested","coleoptera_elmidae",2021-10-14,7,10.76,0.233953909148171
"19","1","forested","coleoptera_elmidae",2021-10-14,4,10.76,0.0326131942205754
"20","1","forested","coleoptera_elmidae",2021-11-18,2,10.76,0.00284097048659574
"21","1","forested","coleoptera_elmidae",2021-11-18,8,10.76,0.374386302950822
"22","1","forested","coleoptera_elmidae",2021-11-18,4,10.76,0.0326131942205754
"23","1","forested","coleoptera_elmidae",2021-11-18,6,10.76,0.13595984473441
"24","1","forested","coleoptera_elmidae",2022-01-13,5,32.28,0.21465190510419
"25","1","forested","coleoptera_elmidae",2022-01-13,6,32.28,0.40787953420323
"26","1","forested","coleoptera_elmidae",2022-01-13,3,32.28,0.0355308256811818
"27","1","forested","coleoptera_elmidae",2022-01-13,2,53.8,0.0142048524329787
"28","1","forested","coleoptera_elmidae",2022-01-13,4,21.52,0.0652263884411509
"29","1","forested","coleoptera_elmidae",2022-01-13,7,10.76,0.233953909148171
"30","1","forested","coleoptera_elmidae",2022-03-04,7,10.76,0.233953909148171
"31","1","forested","coleoptera_elmidae",2022-03-04,4,53.8,0.163065971102877
"32","1","forested","coleoptera_elmidae",2022-03-04,3,21.52,0.0236872171207879
"33","1","forested","coleoptera_elmidae",2022-03-04,2,21.52,0.00568194097319147
"34","1","forested","coleoptera_elmidae",2022-03-04,5,21.52,0.14310127006946
"35","1","forested","coleoptera_elmidae",2022-03-21,5,10.76,0.0715506350347301
"36","1","forested","coleoptera_elmidae",2022-03-21,6,10.76,0.13595984473441
"37","1","forested","coleoptera_elmidae",2021-10-14,5,10.76,0.0715506350347301
"38","2","forested","coleoptera_psephenidae",2021-09-07,1,32.28,0.002382264
"39","2","forested","coleoptera_psephenidae",2021-09-07,2,10.76,0.00595198462323225
"40","2","forested","coleoptera_psephenidae",2021-09-07,3,10.76,0.0193367284941637
"41","2","forested","coleoptera_psephenidae",2022-01-13,6,21.52,0.289871930216497
"42","2","forested","coleoptera_psephenidae",2021-09-07,4,10.76,0.0446123363596895
"43","2","forested","coleoptera_psephenidae",2022-03-04,2,21.52,0.0119039692464645
"44","2","forested","coleoptera_psephenidae",2022-03-04,7,10.76,0.226842036435035
"45","2","forested","coleoptera_psephenidae",2022-03-04,6,10.76,0.144935965108249
"46","3","wastewater dominated","diptera_empididae",2021-05-24,4,10.76,0.00622258257408319
"47","3","stormwater dominated","diptera_empididae",2021-05-24,5,10.76,0.0111953537947071
"48","3","stormwater dominated","diptera_empididae",2021-09-07,2,32.28,0.00301148687394399
"49","3","stormwater dominated","diptera_empididae",2021-09-07,4,10.76,0.00622258257408319
"50","3","stormwater dominated","diptera_empididae",2021-09-07,5,10.76,0.0111953537947071
"51","3","forested","diptera_empididae",2022-03-04,4,10.76,0.00622258257408319
"52","4","forested","diptera_limoniidae",2021-05-24,5,10.76,0.0140855783087086
"53","4","forested","diptera_limoniidae",2021-05-24,7,10.76,0.0383657747504433
"54","4","forested","diptera_limoniidae",2021-07-01,4,21.52,0.0144946141676488
"55","4","forested","diptera_limoniidae",2021-07-01,5,21.52,0.0281711566174171
"56","4","forested","diptera_limoniidae",2021-07-01,7,10.76,0.0383657747504433
"57","4","forested","diptera_limoniidae",2021-07-01,6,10.76,0.0242424457914683
"58","4","forested","diptera_limoniidae",2021-07-01,3,10.76,0.00307686970735271
"59","4","stormwater dominated","diptera_limoniidae",2021-09-07,4,21.52,0.0144946141676488
"60","4","stormwater dominated","diptera_limoniidae",2021-09-07,5,10.76,0.0140855783087086
"61","4","forested","diptera_limoniidae",2021-09-07,2,10.76,0.000919833741938272
"62","4","forested","diptera_limoniidae",2021-09-07,6,10.76,0.0242424457914683
"63","5","wastewater dominated","diptera_simuliidae",2021-05-24,1,10.76,0.000340016
"64","5","wastewater dominated","diptera_simuliidae",2021-05-24,0,10.76,0
"65","5","wastewater dominated","diptera_simuliidae",2021-05-24,2,10.76,0.00237952653299374
"66","5","forested","diptera_simuliidae",2021-05-24,3,43.04,0.0297056258893972
"67","5","forested","diptera_simuliidae",2021-05-24,2,118.36,0.0261747918629312
"68","5","forested","diptera_simuliidae",2021-05-24,1,21.52,0.000680032
"69","5","forested","diptera_simuliidae",2021-05-24,4,21.52,0.0333051769400335
"70","5","wastewater dominated","diptera_simuliidae",2021-11-18,2,10.76,0.00237952653299374
"71","5","wastewater dominated","diptera_simuliidae",2021-11-18,4,10.76,0.0166525884700168
"72","5","forested","diptera_simuliidae",2021-11-18,2,21.52,0.00475905306598749
"73","5","forested","diptera_simuliidae",2022-01-13,5,10.76,0.0311535940237328
"74","5","forested","diptera_simuliidae",2022-03-04,5,10.76,0.0311535940237328
"75","5","forested","diptera_simuliidae",2021-10-14,2,10.76,0.00237952653299374
"76","6","forested","diptera_tipulidae",2021-09-07,10,10.76,0.0528176707441572
"77","6","forested","diptera_tipulidae",2022-03-21,19,10.76,0.295137792170759
"78","6","forested","diptera_tipulidae",2021-10-14,5,21.52,0.0164758589466426
"79","7","wastewater dominated","ephemeroptera_baetidae",2021-10-14,5,10.76,0.0304614256543723
"80","7","forested","ephemeroptera_baetidae",2021-05-24,5,32.28,0.091384276963117
"81","7","forested","ephemeroptera_baetidae",2021-05-24,2,107.6,0.025875792626931
"82","7","forested","ephemeroptera_baetidae",2021-05-24,1,10.76,0.0004007024
"83","7","stormwater dominated","ephemeroptera_baetidae",2021-05-24,2,96.84,0.0232882133642379
"84","7","stormwater dominated","ephemeroptera_baetidae",2021-05-24,4,53.8,0.0835478704484848
"85","7","stormwater dominated","ephemeroptera_baetidae",2021-05-24,5,21.52,0.0609228513087446
"86","7","stormwater dominated","ephemeroptera_baetidae",2021-05-24,3,53.8,0.0385234562646108
"87","7","forested","ephemeroptera_baetidae",2021-05-24,4,53.8,0.0835478704484848
"88","7","stormwater dominated","ephemeroptera_baetidae",2021-05-24,1,32.28,0.0012021072
"89","7","forested","ephemeroptera_baetidae",2021-06-09,2,43.04,0.0103503170507724
"90","7","forested","ephemeroptera_baetidae",2021-06-09,4,53.8,0.0835478704484848
"91","7","forested","ephemeroptera_baetidae",2021-06-09,3,43.04,0.0308187650116886
"92","7","wastewater dominated","ephemeroptera_baetidae",2021-07-01,4,10.76,0.016709574089697
"93","7","stormwater dominated","ephemeroptera_baetidae",2021-07-01,4,21.52,0.0334191481793939
"94","7","wastewater dominated","ephemeroptera_baetidae",2021-09-07,5,10.76,0.0304614256543723
"95","7","wastewater dominated","ephemeroptera_baetidae",2021-09-07,2,21.52,0.00517515852538621
"96","7","wastewater dominated","ephemeroptera_baetidae",2021-09-07,3,10.76,0.00770469125292216
